data;n1;n2;n3;n4;n5;n6;n7;n8;n9;n10;n11;n12;n13;n14;n15
12/05/2017;1;3;4;7;8;9;10;11;12;13;15;18;19;22;24
10/05/2017;1;2;3;6;7;8;9;13;14;15;17;18;19;22;24
08/05/2017;1;3;7;8;9;10;11;12;14;17;19;21;22;23;24
05/05/2017;1;2;3;4;5;8;10;11;13;14;17;19;21;23;24
03/05/2017;3;4;5;8;9;10;13;14;17;18;19;20;21;22;24
28/04/2017;1;2;3;6;7;11;14;16;17;18;19;20;22;24;25
26/04/2017;1;4;5;7;8;11;12;14;17;18;19;21;23;24;25
24/04/2017;1;2;3;7;12;15;16;17;18;20;21;22;23;24;25
22/04/2017;1;2;3;4;5;7;11;12;13;15;17;18;20;22;24
19/04/2017;1;6;7;8;9;10;11;13;16;17;18;21;22;24;25
17/04/2017;1;2;3;5;7;10;11;12;13;15;17;18;19;20;22
15/04/2017;1;2;3;4;5;7;8;12;13;14;15;18;19;23;24
12/04/2017;4;5;7;8;10;11;14;15;16;17;18;21;23;24;25
10/04/2017;1;2;5;7;11;12;13;14;15;16;17;18;19;22;23
07/04/2017;2;3;6;7;9;10;11;12;13;15;17;19;20;23;25
05/04/2017;1;2;3;4;5;8;10;12;13;14;18;22;23;24;25
03/04/2017;1;2;3;4;9;10;11;12;13;15;17;19;20;22;25
31/03/2017;2;5;8;10;11;13;14;15;16;19;20;21;23;24;25
29/03/2017;2;3;4;5;7;8;10;12;15;16;17;18;19;24;25
27/03/2017;2;4;5;6;7;9;11;13;14;19;20;22;23;24;25
24/03/2017;1;3;4;5;7;8;9;11;13;14;15;18;19;20;22
22/03/2017;2;4;7;8;9;10;12;13;14;15;19;20;22;23;25
20/03/2017;1;4;5;6;10;11;12;13;16;19;20;21;23;24;25
17/03/2017;1;2;3;4;5;6;10;11;12;15;16;19;21;22;25
15/03/2017;2;4;5;8;9;10;12;14;18;19;20;21;22;23;25
13/03/2017;1;2;3;5;8;9;11;13;15;17;18;19;23;24;25
10/03/2017;1;2;3;4;6;7;9;10;12;17;18;19;21;22;25
08/03/2017;3;4;5;6;7;9;11;13;14;15;17;20;21;22;23
06/03/2017;1;2;4;5;7;8;9;10;11;12;14;15;19;23;24
03/03/2017;2;3;5;7;8;9;11;17;18;19;20;21;23;24;25
01/03/2017;1;6;7;10;11;12;13;15;16;17;19;20;21;22;25
24/02/2017;2;3;5;6;9;11;13;14;15;16;17;18;20;22;23
22/02/2017;2;5;6;7;10;11;12;15;16;17;18;19;21;24;25
20/02/2017;1;2;3;4;5;6;7;10;12;15;17;18;21;22;23
17/02/2017;2;4;5;6;7;9;10;12;13;14;16;19;21;22;25
15/02/2017;1;2;3;5;6;9;10;12;13;15;18;20;21;24;25
13/02/2017;1;2;5;7;8;10;11;13;14;15;18;19;20;21;25
10/02/2017;1;4;5;7;8;9;10;12;14;16;20;22;23;24;25
08/02/2017;2;3;4;5;7;8;10;12;13;14;18;21;22;23;24
06/02/2017;1;2;4;6;7;8;10;11;13;15;18;20;21;22;24
03/02/2017;2;3;7;8;11;12;13;14;15;18;20;21;22;23;24
01/02/2017;1;2;3;5;6;7;8;9;11;13;16;17;18;19;20
30/01/2017;2;3;5;6;8;11;12;13;14;18;19;20;21;23;24
27/01/2017;1;4;5;6;9;10;11;12;19;20;21;22;23;24;25
25/01/2017;2;3;4;6;10;11;12;14;19;20;21;22;23;24;25
23/01/2017;2;5;7;8;9;10;12;14;16;19;20;21;22;23;24
20/01/2017;1;4;9;10;11;12;13;14;15;16;17;18;22;23;24
18/01/2017;3;4;6;7;10;11;13;14;15;17;19;20;22;23;24
16/01/2017;1;3;4;5;7;9;12;13;14;16;17;20;21;24;25
13/01/2017;2;4;5;6;9;10;11;15;17;18;19;21;23;24;25
11/01/2017;1;3;5;7;11;14;15;16;17;18;19;20;21;24;25
09/01/2017;1;4;6;9;10;12;13;14;16;17;18;19;20;24;25
06/01/2017;1;2;3;5;7;9;11;14;17;18;19;20;22;23;24
04/01/2017;1;2;3;4;7;8;9;10;11;13;14;15;18;23;24
02/01/2017;1;2;6;7;8;9;12;13;14;15;19;20;21;24;25
30/12/2016;2;5;7;8;14;15;16;17;18;19;20;21;22;23;25
28/12/2016;1;3;4;7;10;12;13;14;18;19;20;21;22;23;25
26/12/2016;1;2;5;8;9;10;13;14;15;16;19;21;23;24;25
23/12/2016;2;5;7;8;10;11;13;14;15;17;20;21;23;24;25
21/12/2016;1;2;3;5;10;12;13;14;15;19;20;21;23;24;25
19/12/2016;1;2;4;5;8;9;10;13;14;16;17;19;20;22;24
16/12/2016;1;3;4;5;6;7;8;9;11;15;16;20;22;23;24
14/12/2016;1;3;4;5;6;8;12;13;16;18;19;21;22;23;24
12/12/2016;1;3;4;5;8;11;12;13;17;18;19;21;22;24;25
09/12/2016;1;4;6;7;8;12;13;16;17;20;21;22;23;24;25
07/12/2016;1;4;5;6;8;10;13;15;16;17;18;20;22;23;25
05/12/2016;1;2;4;5;6;9;10;11;14;15;17;18;20;21;24
02/12/2016;1;2;3;5;7;8;9;10;11;12;14;15;16;17;24
30/11/2016;1;2;3;4;7;9;11;12;13;15;16;17;19;20;21
28/11/2016;1;3;4;5;6;7;9;10;11;13;16;19;22;23;25
25/11/2016;2;3;8;10;12;13;14;16;17;18;20;21;22;24;25
23/11/2016;1;2;3;5;11;12;13;14;15;16;17;18;19;22;24
21/11/2016;1;4;7;8;9;10;11;12;14;15;17;20;21;22;24
18/11/2016;2;4;5;6;7;8;9;11;13;14;17;19;20;23;25
16/11/2016;1;2;3;5;6;8;11;12;15;17;18;19;22;23;24
14/11/2016;1;2;3;4;5;6;9;10;12;16;17;19;20;21;23
11/11/2016;3;4;5;6;7;9;10;12;13;15;18;19;22;23;24
09/11/2016;3;6;7;9;10;12;14;15;16;18;20;22;23;24;25
07/11/2016;1;3;4;5;10;11;12;16;17;18;20;21;23;24;25
04/11/2016;1;2;7;8;9;10;12;14;15;16;17;19;20;23;25
31/10/2016;1;3;4;5;7;8;9;13;15;16;20;21;22;23;25
28/10/2016;5;7;8;9;10;12;13;14;15;16;18;19;20;21;25
26/10/2016;2;3;4;5;6;8;9;13;17;18;19;20;21;22;25
24/10/2016;1;2;7;10;11;12;14;15;16;17;18;19;20;22;25
21/10/2016;2;3;4;7;8;10;12;14;15;16;18;22;23;24;25
19/10/2016;1;3;4;5;8;9;11;12;13;14;16;19;20;21;25
17/10/2016;2;4;5;6;8;9;10;11;13;17;18;20;21;23;25
14/10/2016;1;2;4;5;7;8;11;12;13;14;15;16;19;22;23
10/10/2016;1;4;5;7;10;11;13;14;15;16;17;19;22;23;24
07/10/2016;3;5;6;7;8;9;11;12;14;17;18;19;20;23;24
05/10/2016;1;4;6;7;8;10;13;14;15;16;17;20;22;23;25
03/10/2016;2;3;6;7;11;12;15;16;17;18;19;20;21;23;24
30/09/2016;2;4;6;9;10;11;13;14;15;17;18;20;21;22;23
28/09/2016;1;2;3;4;6;7;9;11;13;14;15;18;19;22;23
26/09/2016;3;4;5;7;8;9;10;12;14;15;17;18;19;20;24
23/09/2016;2;4;5;6;10;12;13;15;17;18;19;22;23;24;25
21/09/2016;2;3;4;5;7;9;10;11;13;14;16;17;20;21;23
19/09/2016;2;3;4;5;6;7;8;9;10;13;16;17;18;21;25
16/09/2016;5;6;7;9;11;13;15;16;18;19;21;22;23;24;25
14/09/2016;1;5;6;7;8;9;10;12;13;14;15;16;17;21;23
12/09/2016;2;3;4;5;6;7;9;10;14;15;16;17;20;21;23
